wl,aw,bw
443,0.00744754860818133,0.00483802792197254
490,0.0234645979096506,0.00483806040249002 #ERROR HERE in bw
560,0.0632887446576922,0.00179609774337595
665,0.414919045201729,0.000865859897760055
705,0.696875291700509,0.00067661115694766
740,2.71791080014861,0.000546479871620154
783,2.62542824881719,0.000432058621381995
842,3.60334106878709,0.000333921297197181
865,4.61511498835941,0.000282939570549906
945,24.123865387377,0.000194499429210789
1375,516.18991680247,3.6855593692513e-05
1610,739.562048594798,1.84189830615237e-05
2190,2206.33374105291,4.82000586398151e-06
